vereador	nome_oficial	nome_urna	partido	cidade	ano	votos	status_match	score_nome	arquivo	link
GABRIEL AUGUSTO DE OLIVEIRA SOUZA ROCHA	GABRIEL AUGUSTO DE OLIVEIRA SOUZA ROCHA	GABRIEL ROCHA	PL	ILHABELA	2024	761	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_gabriel_augusto_de_oliveira_souza_rocha_ilhabela_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_gabriel_augusto_de_oliveira_souza_rocha_ilhabela_2024.html
NANCI PERES DE ARAUJO ZANATO	NANCI PERES DE ARAUJO ZANATO	NANCI ZANATO	PL	ILHABELA	2024	203	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_nanci_peres_de_araujo_zanato_ilhabela_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_nanci_peres_de_araujo_zanato_ilhabela_2024.html
THIAGO SOUZA SANTOS	THIAGO SOUZA SANTOS	DR THIAGO	REPUBLICANOS	ILHABELA	2024	777	auto_exato_ou_quase	0.99	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_thiago_souza_santos_ilhabela_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_thiago_souza_santos_ilhabela_2024.html
DAVID RIBEIRO DA SILVA	DAVID RIBEIRO DA SILVA	DAVID NETO	PL	ITAQUAQUECETUBA	2024	8547	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_david_ribeiro_da_silva_itaquaquecetuba_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_david_ribeiro_da_silva_itaquaquecetuba_2024.html
FRANCISCO JOSE FERREIRA	FRANCISCO JOSE FERREIRA	PROFESSOR FRANCISCO	PSD	ITAQUAQUECETUBA	2024	1927	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_francisco_jose_ferreira_itaquaquecetuba_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_francisco_jose_ferreira_itaquaquecetuba_2024.html
GUSTAVO RAMOS DE MACEDO	GUSTAVO RAMOS DE MACEDO	GUSTAVO	PT	ITAQUAQUECETUBA	2024	635	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_gustavo_ramos_de_macedo_itaquaquecetuba_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_gustavo_ramos_de_macedo_itaquaquecetuba_2024.html
LESSANDRA GONÇALVES	LESSANDRA GONÇALVES	LESSANDRA DA PAIOL	PODE	ITAQUAQUECETUBA	2024	3743	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_lessandra_goncalves_itaquaquecetuba_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_lessandra_goncalves_itaquaquecetuba_2024.html
LINDINALVA ZEFERINO DE AZEVEDO	LINDINALVA ZEFERINO DE AZEVEDO	COLEGA	PSB	ITAQUAQUECETUBA	2024	1532	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_lindinalva_zeferino_de_azevedo_itaquaquecetuba_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_lindinalva_zeferino_de_azevedo_itaquaquecetuba_2024.html
ROQUE LEVI SANTOS TAVARES	ROQUE LEVI SANTOS TAVARES	DR. ROQUE	PL	ITAQUAQUECETUBA	2024	3564	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_roque_levi_santos_tavares_itaquaquecetuba_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_roque_levi_santos_tavares_itaquaquecetuba_2024.html
DANIEL MARIANO TEIXEIRA	DANIEL MARIANO TEIXEIRA	DANIEL MARIANO	PL	JACAREÍ	2024	1820	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_daniel_mariano_teixeira_jacarei_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_daniel_mariano_teixeira_jacarei_2024.html
