nome_oficial,nome_urna,partido,cidade,ano,votos,link
ANDERSON CHAGAS REBELO,ANDERSON CUECA,PP,SANTA ISABEL,2024,822,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_anderson_chagas_rebelo_santa_isabel_2024.html
CRISTIANO FELIZARDO DA SILVEIRA,CRISTIANO DA ORTOPEDIA,PP,SANTA ISABEL,2024,402,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_cristiano_felizardo_da_silveira_santa_isabel_2024.html
JOSE MARTINS DE OLIVEIRA ALVES,ZÉ DA MULA,PODE,SANTA ISABEL,2024,829,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_jose_martins_de_oliveira_alves_santa_isabel_2024.html
MARCOS FELIPE DE OLIVEIRA BARBOSA,CANNOR,UNIÃO,SANTA ISABEL,2024,553,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_marcos_felipe_de_oliveira_barbosa_santa_isabel_2024.html
OSVALDO PIMENTA DE ALMEIDA JUNIOR,OSVALDO JUNIOR,PODE,SANTA ISABEL,2024,469,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_osvaldo_pimenta_de_almeida_junior_santa_isabel_2024.html
REGIANE DE CASTRO,REGIANE PROTETORA,PODE,SANTA ISABEL,2024,516,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_regiane_de_castro_santa_isabel_2024.html
ADILSON DOS SANTOS JUNIOR,ADILSON JUNIOR,PP,SANTOS,2024,4286,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_adilson_dos_santos_junior_santos_2024.html
CLAUDIA REGINA ALONSO ELIAS PERES,CLAUDIA ALONSO,PODE,SANTOS,2024,1014,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_claudia_regina_alonso_elias_peres_santos_2024.html
LINCOLN APARECIDO SOARES DOS REIS,LINCOLN REIS,PODE,SANTOS,2024,5554,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_lincoln_aparecido_soares_dos_reis_santos_2024.html
RUI SERGIO GOMES DE ROSIS JUNIOR,RUI DE ROSIS JR.,PL,SANTOS,2024,6404,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_rui_sergio_gomes_de_rosis_junior_santos_2024.html
ARTUR YUKIO TAKAYAMA,ARTUR TAKAYAMA,PL,SUZANO,2024,3133,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_artur_yukio_takayama_suzano_2024.html
LEANDRO ALVES DE FARIA,LEANDRINHO,PL,SUZANO,2024,7724,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_leandro_alves_de_faria_suzano_2024.html
NELSON DOS SANTOS,NELSON DO FADUL,PL,SUZANO,2024,641,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_nelson_dos_santos_suzano_2024.html
CARLOS AUGUSTO ABRANCHES,CARLOS ABRANCHES,CIDADANIA,SÃO JOSÉ DOS CAMPOS,2024,7934,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_carlos_augusto_abranches_sao_jose_dos_campos_2024.html
FERNANDO LUIZ ISOPPO PETITI,FERNANDO PETITI,PSDB,SÃO JOSÉ DOS CAMPOS,2024,11618,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_fernando_luiz_isoppo_petiti_sao_jose_dos_campos_2024.html
JULIANA FRAGA E SILVA DE SOUZA,JULIANA FRAGA,PT,SÃO JOSÉ DOS CAMPOS,2024,7214,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_juliana_fraga_e_silva_de_souza_sao_jose_dos_campos_2024.html
ROBERTO DE ASSIS CHAGAS,ROBERTO CHAGAS,PL,SÃO JOSÉ DOS CAMPOS,2024,13482,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_roberto_de_assis_chagas_sao_jose_dos_campos_2024.html
THOMAZ HENRIQUE BARBOSA DA SILVA,THOMAZ HENRIQUE,PL,SÃO JOSÉ DOS CAMPOS,2024,12860,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_thomaz_henrique_barbosa_da_silva_sao_jose_dos_campos_2024.html
ALESSANDRO GUEDES DOS SANTOS,ALESSANDRO GUEDES,PT,SÃO PAULO,2024,90154,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_alessandro_guedes_dos_santos_sao_paulo_2024.html
