nome_oficial,nome_urna,partido,cidade,ano,votos,link
DÉBORA ALVES CAMILO,DÉBORA CAMILO,PSOL,SANTOS,2024,14514,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_debora_alves_camilo_santos_2024.html
FABRÍCIO CARDOSO DE OLIVEIRA,FABRÍCIO CARDOSO,PODE,SANTOS,2024,10044,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_fabricio_cardoso_de_oliveira_santos_2024.html
LINCOLN APARECIDO SOARES DOS REIS,LINCOLN REIS,PODE,SANTOS,2024,5554,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_lincoln_aparecido_soares_dos_reis_santos_2024.html
RENATA COSTA BRAVO OLIVEIRA,RENATA BRAVO,PSD,SANTOS,2024,5722,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_renata_costa_bravo_oliveira_santos_2024.html
ADILSON DE LIMA FRANCO,ADILSON HORSE,UNIÃO,SUZANO,2024,1606,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_adilson_de_lima_franco_suzano_2024.html
ANDRÉ DIAS DOURADO,ANDRÉ DOURADO,PT,SUZANO,2024,1069,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_andre_dias_dourado_suzano_2024.html
ARTUR YUKIO TAKAYAMA,ARTUR TAKAYAMA,PL,SUZANO,2024,3133,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_artur_yukio_takayama_suzano_2024.html
ROGERIO APARECIDO CASTILHO,ROGERIO CASTILHO,PSB,SUZANO,2024,2923,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_rogerio_aparecido_castilho_suzano_2024.html
AMELIA NAOMI OMURA,AMELIA NAOMI,PT,SÃO JOSÉ DOS CAMPOS,2024,13696,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_amelia_naomi_omura_sao_jose_dos_campos_2024.html
CARLOS AUGUSTO ABRANCHES,CARLOS ABRANCHES,CIDADANIA,SÃO JOSÉ DOS CAMPOS,2024,7934,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_carlos_augusto_abranches_sao_jose_dos_campos_2024.html
JULIANA FRAGA E SILVA DE SOUZA,JULIANA FRAGA,PT,SÃO JOSÉ DOS CAMPOS,2024,7214,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_juliana_fraga_e_silva_de_souza_sao_jose_dos_campos_2024.html
