EMERSON AMORIM CASSIANO DOS SANTOS | POÁ | PODE | 1323 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_emerson_amorim_cassiano_dos_santos_poa_2024.html
LUCAS ALVES FERRARI | POÁ | PL | 2050 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_lucas_alves_ferrari_poa_2024.html
RAPHAEL BERNARDES GROTHE | POÁ | AVANTE | 840 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_raphael_bernardes_grothe_poa_2024.html
ROGERIO RODRIGUES MATHIAS | POÁ | PP | 927 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_rogerio_rodrigues_mathias_poa_2024.html
SAULO TEIXEIRA ALBERTO DA COSTA | POÁ | UNIÃO | 877 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_saulo_teixeira_alberto_da_costa_poa_2024.html
DEBORA APARECIDA RODRIGUES BORGES | SALESÓPOLIS | PODE | 344 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_debora_aparecida_rodrigues_borges_salesopolis_2024.html
LOURENÇO FRANCISCO DE OLIVEIRA JUNIOR | SALESÓPOLIS | PODE | 767 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_lourenco_francisco_de_oliveira_junior_salesopolis_2024.html
BRUNA RAFAELA MENDES | SANTA ISABEL | UNIÃO | 1222 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_bruna_rafaela_mendes_santa_isabel_2024.html
CRISTIANO FELIZARDO DA SILVEIRA | SANTA ISABEL | PP | 402 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_cristiano_felizardo_da_silveira_santa_isabel_2024.html
JAIRO FURINI NETO | SANTA ISABEL | PP | 164 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_jairo_furini_neto_santa_isabel_2024.html
MARIA TELMA ALMEIDA FERREIRA PEREIRA | SANTA ISABEL | UNIÃO | 484 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_maria_telma_almeida_ferreira_pereira_santa_isabel_2024.html
ADILSON DOS SANTOS JUNIOR | SANTOS | PP | 4286 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_adilson_dos_santos_junior_santos_2024.html
DÉBORA ALVES CAMILO | SANTOS | PSOL | 14514 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_debora_alves_camilo_santos_2024.html
FABRÍCIO CARDOSO DE OLIVEIRA | SANTOS | PODE | 10044 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_fabricio_cardoso_de_oliveira_santos_2024.html
LINCOLN APARECIDO SOARES DOS REIS | SANTOS | PODE | 5554 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_lincoln_aparecido_soares_dos_reis_santos_2024.html
RENATA COSTA BRAVO OLIVEIRA | SANTOS | PSD | 5722 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_renata_costa_bravo_oliveira_santos_2024.html
ADILSON DE LIMA FRANCO | SUZANO | UNIÃO | 1606 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_adilson_de_lima_franco_suzano_2024.html
ANDRÉ DIAS DOURADO | SUZANO | PT | 1069 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_andre_dias_dourado_suzano_2024.html
ARTUR YUKIO TAKAYAMA | SUZANO | PL | 3133 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_artur_yukio_takayama_suzano_2024.html
ROGERIO APARECIDO CASTILHO | SUZANO | PSB | 2923 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_rogerio_aparecido_castilho_suzano_2024.html
AMELIA NAOMI OMURA | SÃO JOSÉ DOS CAMPOS | PT | 13696 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_amelia_naomi_omura_sao_jose_dos_campos_2024.html
CARLOS AUGUSTO ABRANCHES | SÃO JOSÉ DOS CAMPOS | CIDADANIA | 7934 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_carlos_augusto_abranches_sao_jose_dos_campos_2024.html
JULIANA FRAGA E SILVA DE SOUZA | SÃO JOSÉ DOS CAMPOS | PT | 7214 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_juliana_fraga_e_silva_de_souza_sao_jose_dos_campos_2024.html
RAFAEL AFONSO PASCUCCI | SÃO JOSÉ DOS CAMPOS | PSD | 9424 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_rafael_afonso_pascucci_sao_jose_dos_campos_2024.html
